2.61E+00	-2.18E-01	-2.10E-02
2.63E+00	-2.13E-01	-5.40E-02
2.71E+00	-1.29E-01	-3.70E-02
2.78E+00	-4.20E-02	2.50E-02
2.80E+00	3.80E-02	8.30E-02
2.72E+00	1.70E-02	6.20E-02
2.63E+00	-5.80E-02	-1.20E-02
2.59E+00	-1.31E-01	-6.40E-02
2.62E+00	-1.20E-01	-3.20E-02
2.66E+00	-4.60E-02	9.20E-02
2.66E+00	-1.00E-03	1.38E-01
2.64E+00	-1.60E-02	1.45E-01
2.59E+00	-7.20E-02	1.26E-01
2.55E+00	-1.16E-01	4.40E-02
2.61E+00	-7.60E-02	-8.00E-03
2.77E+00	7.90E-02	6.10E-02
2.91E+00	2.54E-01	1.90E-01
2.93E+00	3.43E-01	2.31E-01
2.86E+00	2.36E-01	1.93E-01
2.77E+00	6.70E-02	8.90E-02
2.71E+00	-4.10E-02	-1.10E-02
2.70E+00	-8.40E-02	-6.60E-02
2.70E+00	-7.80E-02	-4.40E-02
2.72E+00	-6.30E-02	-3.00E-03
2.75E+00	-1.90E-02	8.40E-02
2.75E+00	-2.00E-03	1.31E-01
2.72E+00	-2.50E-02	9.10E-02
2.67E+00	-9.20E-02	8.00E-03
2.65E+00	-1.31E-01	-3.60E-02
2.66E+00	-1.14E-01	-4.90E-02
2.74E+00	-1.70E-02	-4.30E-02
2.80E+00	7.90E-02	7.70E-02
2.79E+00	1.28E-01	1.85E-01
2.68E+00	5.80E-02	2.06E-01
2.59E+00	-1.40E-02	1.74E-01
2.59E+00	-3.10E-02	1.58E-01
2.65E+00	5.00E-03	2.08E-01
2.68E+00	4.00E-02	2.48E-01
2.70E+00	6.40E-02	1.81E-01
2.72E+00	1.09E-01	1.18E-01
2.73E+00	1.34E-01	2.70E-02
2.72E+00	1.30E-01	3.10E-02
2.71E+00	6.50E-02	1.48E-01
2.68E+00	-2.50E-02	2.14E-01
2.65E+00	-7.90E-02	2.10E-01
2.67E+00	-1.00E-01	-5.00E-03
2.73E+00	6.00E-03	-1.21E-01
2.81E+00	1.24E-01	-8.90E-02
2.84E+00	1.62E-01	2.00E-02
2.79E+00	1.04E-01	1.37E-01
2.71E+00	2.20E-02	1.56E-01
2.63E+00	-6.00E-02	1.21E-01
2.58E+00	-1.14E-01	-5.00E-03
2.59E+00	-9.00E-02	-1.10E-01
2.65E+00	-5.30E-02	-1.13E-01
2.73E+00	4.10E-02	-7.00E-03
2.79E+00	1.14E-01	1.26E-01
2.81E+00	1.54E-01	2.27E-01
2.78E+00	1.64E-01	2.52E-01
2.70E+00	8.40E-02	1.54E-01
2.63E+00	-5.00E-03	-8.00E-03
2.68E+00	-2.30E-02	-1.02E-01
2.78E+00	4.30E-02	-2.30E-02
2.88E+00	1.17E-01	1.17E-01
2.93E+00	1.88E-01	2.32E-01
2.91E+00	2.29E-01	2.28E-01
2.84E+00	1.83E-01	1.12E-01
2.73E+00	7.20E-02	-5.10E-02
2.63E+00	-4.30E-02	-1.72E-01
2.58E+00	-1.38E-01	-1.02E-01
2.60E+00	-1.36E-01	6.20E-02
2.60E+00	-1.21E-01	2.39E-01
2.55E+00	-1.51E-01	2.51E-01
2.49E+00	-2.23E-01	1.16E-01
2.50E+00	-2.32E-01	-6.60E-02
2.60E+00	-1.52E-01	-1.00E-01
2.73E+00	-2.20E-02	-2.70E-02
2.79E+00	9.00E-02	5.40E-02
2.79E+00	1.15E-01	7.30E-02
2.75E+00	5.00E-02	3.80E-02
2.77E+00	2.00E-02	-7.00E-03
2.86E+00	9.40E-02	2.00E-03
2.96E+00	2.79E-01	1.25E-01
2.99E+00	3.61E-01	1.82E-01
2.94E+00	3.05E-01	1.90E-01
2.85E+00	1.88E-01	1.69E-01
2.75E+00	5.80E-02	1.05E-01
2.66E+00	-5.70E-02	4.00E-02
2.62E+00	-1.48E-01	2.50E-02
2.62E+00	-1.48E-01	2.10E-02
2.65E+00	-1.03E-01	1.20E-02
2.62E+00	-7.60E-02	9.00E-03
2.51E+00	-1.54E-01	-2.00E-02
2.40E+00	-2.63E-01	-6.90E-02
2.38E+00	-3.61E-01	-4.30E-02
2.46E+00	-3.34E-01	9.00E-03
2.61E+00	-2.24E-01	5.50E-02
2.79E+00	-2.40E-02	9.00E-02
2.97E+00	2.27E-01	7.40E-02
3.03E+00	3.35E-01	5.10E-02
3.02E+00	3.48E-01	6.90E-02
2.98E+00	3.11E-01	2.90E-02
2.89E+00	1.88E-01	8.80E-02
2.79E+00	8.70E-02	-2.00E-03
2.71E+00	9.00E-03	-8.60E-02
2.69E+00	2.60E-02	-3.20E-02
2.69E+00	1.00E-02	6.00E-03
2.70E+00	-2.30E-02	7.50E-02
2.70E+00	-8.00E-03	1.36E-01
2.70E+00	-3.00E-02	2.37E-01
2.67E+00	-4.70E-02	2.83E-01
2.58E+00	-1.00E-01	1.95E-01
2.46E+00	-1.71E-01	-2.00E-03
2.39E+00	-2.46E-01	-2.06E-01
2.42E+00	-2.82E-01	-2.53E-01
2.55E+00	-2.55E-01	-1.54E-01
2.74E+00	-8.60E-02	2.30E-02
2.92E+00	1.68E-01	1.33E-01
2.98E+00	3.71E-01	1.44E-01
2.90E+00	3.95E-01	1.17E-01
2.78E+00	1.98E-01	-2.90E-02
2.67E+00	6.70E-02	-3.10E-02
2.60E+00	-3.60E-02	0.00E+00
2.63E+00	-4.70E-02	6.50E-02
2.70E+00	-3.70E-02	1.89E-01
2.75E+00	7.10E-02	2.69E-01
2.73E+00	1.15E-01	2.82E-01
2.64E+00	4.70E-02	2.03E-01
2.54E+00	-6.20E-02	1.01E-01
2.48E+00	-1.70E-01	2.10E-02
2.46E+00	-2.40E-01	1.30E-02
2.49E+00	-2.34E-01	2.90E-02
2.60E+00	-1.48E-01	7.20E-02
2.76E+00	3.90E-02	1.70E-01
2.85E+00	1.86E-01	2.30E-01
2.86E+00	2.37E-01	1.39E-01
2.82E+00	1.92E-01	4.00E-02
2.77E+00	1.31E-01	-3.00E-02
2.66E+00	-9.00E-03	-1.10E-02
2.56E+00	-1.59E-01	-4.10E-02
2.52E+00	-2.42E-01	-8.90E-02
2.57E+00	-2.11E-01	-3.50E-02
2.67E+00	-8.70E-02	3.60E-02
2.73E+00	3.50E-02	6.90E-02
2.77E+00	9.70E-02	4.90E-02
